text_to_classify,expected_classification,expected_classification_label,prediction,prediction_label,is_accurate
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
knee degenerative arthritis osteoarthritis knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"radiculopathy, right lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"tendonitis (tendinitis) in knee, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"intervertebral disc syndrome (IVDS), back",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"spinal arthritis, back",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"degenerative arthritis (osteoarthritis) in knee, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"degenerative arthritis (osteoarthritis) in knee, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"ankylosis in knee, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"ankylosis in knee, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"knee instability, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"patellofemoral pain syndrome, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"radiculopathy, bilateral lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
urinary incontinence (loss of bladder control),8975,Genitourinary,8975,Genitourinary,True
"greater trochanteric pain syndrome (lateral hip pain), left",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"greater trochanteric pain syndrome (lateral hip pain), right",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"ankylosis in hip, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"bursitis in hip, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"hip impingement (femoroacetabular impingement or FAI), bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
ankle,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"degenerative arthritis (osteoarthritis) in ankle, right",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"tendonitis (tendinitis) in ankle, right",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"degenerative arthritis (osteoarthritis) in ankle, left",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"hearing loss, other than tinnitus",3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
"intervertebral disc syndrome (IVDS), neck",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
cervical spinal stenosis (narrowing of spinal canal in neck),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"ankle sprain, left",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"spinal arthritis, neck",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"PTSD (post-traumatic stress disorder), non-combat-related",8989,Mental Disorders,8989,Mental Disorders,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
asthma,9012,Respiratory,9012,Respiratory,True
hemorrhoids,8968,Digestive,8968,Digestive,True
"tendonitis (tendinitis) in ankle, left",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"radiculopathy, bilateral upper extremities",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
epididymitis,8975,Genitourinary,8975,Genitourinary,True
"carpal tunnel syndrome, bilateral",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"shoulder impingement syndrome, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"shoulder strain, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
"temporomandibular disorder, including TMJ",249481,Dental and Oral - Musculoskeletal,249481,Dental and Oral - Musculoskeletal,True
hyperhidrosis (excessive sweating),9016,Skin,9016,Skin,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"spinal arthritis, neck",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
asthma,9012,Respiratory,9012,Respiratory,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
knee degenerative arthritis osteoarthritis knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"knee instability, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"radiculopathy, bilateral lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
congestive heart failure (CHF),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
Migraines,9007,Neurological other System,9007,Neurological other System,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
"foot fracture (tarsal or metatarsal fracture), right",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"degenerative arthritis (osteoarthritis) in hip, left",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"visual impairment, including blurry vision, blindness and double vision",8974,Eye (Vision),8974,Eye (Vision),True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"radiculopathy, bilateral lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lower back sprain (lumbosacral sprain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"knee strain or sprain, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"claw foot (pes cavus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
athlete's foot (tinea pedis),9016,Skin,9016,Skin,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
congestive heart failure (CHF),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
Migraines,9007,Neurological other System,9007,Neurological other System,True
"knee instability, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"radiculopathy, bilateral lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
"knee instability, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"knee instability, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
irritable bowel syndrome ibs,8968,Digestive,8968,Digestive,True
migraines headaches,9007,Neurological other System,9007,Neurological other System,True
congestive heart failure (CHF),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
Migraines,9007,Neurological other System,9007,Neurological other System,True
"knee instability, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"radiculopathy, bilateral lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
"temporomandibular disorder, including TMJ",249481,Dental and Oral - Musculoskeletal,249481,Dental and Oral - Musculoskeletal,True
hyperhidrosis (excessive sweating),9016,Skin,9016,Skin,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"radiculopathy, right lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
congestive heart failure (CHF),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
Migraines,9007,Neurological other System,9007,Neurological other System,True
"knee instability, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"radiculopathy, bilateral lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
irritable bowel syndrome ibs,8968,Digestive,8968,Digestive,True
migraines headaches,9007,Neurological other System,9007,Neurological other System,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
Raynaud's disease,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
"temporomandibular disorder, including TMJ",249481,Dental and Oral - Musculoskeletal,249481,Dental and Oral - Musculoskeletal,True
hyperhidrosis (excessive sweating),9016,Skin,9016,Skin,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
heart attack (myocardial infarction),8971,Embolism/Infarction - Heart/Veins/Arteries,8971,Embolism/Infarction - Heart/Veins/Arteries,True
"knee strain or sprain, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
diabetes type,8973,Endocrine,8973,Endocrine,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
irritable bowel syndrome ibs,8968,Digestive,8968,Digestive,True
migraines headaches,9007,Neurological other System,9007,Neurological other System,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
"temporomandibular disorder, including TMJ",249481,Dental and Oral - Musculoskeletal,249481,Dental and Oral - Musculoskeletal,True
hyperhidrosis (excessive sweating),9016,Skin,9016,Skin,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"radiculopathy, right lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
